household_id,country,region_camp,family_size,members,head_age,head_gender,vulnerability_type,needs_category
BAN-0011831,Bangladesh,Camp 26,8,"[{""age"": 79, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 11, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 27, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 51, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 73, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 19, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 11, ""gender"": ""F"", ""vulnerable_flag"": true}]",79,F,malnutrition,"livelihood,shelter,wash"
BAN-0007521,Bangladesh,Nayapara,2,"[{""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 4, ""gender"": ""M"", ""vulnerable_flag"": false}]",10,F,,"wash,livelihood"
MYA-0087293,Myanmar,Rakhine IDP Camps,5,"[{""age"": 40, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 50, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 48, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 34, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 7, ""gender"": ""M"", ""vulnerable_flag"": false}]",50,M,,"medical,shelter,protection,food"
MYA-0058729,Myanmar,Shan Region,2,"[{""age"": 46, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 56, ""gender"": ""F"", ""vulnerable_flag"": false}]",56,F,,"wash,education,shelter"
IND-0033561,India,Hyderabad,3,"[{""age"": 42, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 8, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 17, ""gender"": ""F"", ""vulnerable_flag"": true}]",42,F,malnutrition,medical
MYA-0107036,Myanmar,Kachin Shelters,7,"[{""age"": 78, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 76, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 1, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 53, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 23, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 61, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 58, ""gender"": ""F"", ""vulnerable_flag"": false}]",78,M,pregnant_lactating,protection
CAM-0114179,Cambodia,Transit Center,6,"[{""age"": 15, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 5, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 49, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 19, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 13, ""gender"": ""M"", ""vulnerable_flag"": true}]",49,F,unaccompanied_minor,"shelter,livelihood,medical"
MYA-0113076,Myanmar,Sagaing,5,"[{""age"": 32, ""gender"": ""M"", ""vulnerable_flag"": true}, {""age"": 55, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 35, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 2, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 20, ""gender"": ""M"", ""vulnerable_flag"": false}]",55,M,gbv_survivor,medical
MYA-0078548,Myanmar,Rakhine IDP Camps,5,"[{""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 22, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 26, ""gender"": ""F"", ""vulnerable_flag"": true}, {""age"": 24, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 16, ""gender"": ""F"", ""vulnerable_flag"": false}]",26,F,single_parent,"protection,livelihood"
MYA-0076803,Myanmar,Shan Region,4,"[{""age"": 57, ""gender"": ""M"", ""vulnerable_flag"": false}, {""age"": 10, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 14, ""gender"": ""F"", ""vulnerable_flag"": false}, {""age"": 63, ""gender"": ""F"", ""vulnerable_flag"": false}]",63,F,,"food,medical"
